Date,Category,Region,Quantity,UnitPrice,TotalSales,PaymentMethod
2024-01-15,Electronics,West,3,443.44,1330.33,Credit Card
2024-01-15,Books,South,2,28.43,56.86,Net Banking
2024-01-15,Clothing,South,5,22.84,114.22,UPI
2024-01-15,Electronics,West,1,174.59,174.59,Credit Card
2024-01-15,Clothing,South,2,60.16,120.32,UPI
2024-01-15,Electronics,East,3,289.45,868.35,Debit Card
2024-01-16,Home & Kitchen,West,1,116.36,116.36,UPI
2024-01-16,Clothing,South,1,22.39,22.39,Debit Card
2024-01-16,Clothing,East,1,91.47,91.47,UPI
2024-01-17,Sports,North,5,60.64,303.18,UPI
2024-01-17,Electronics,East,3,286.03,858.09,Credit Card
2024-01-17,Sports,West,1,91.88,91.88,Debit Card
2024-01-17,Clothing,North,5,42.51,212.56,Net Banking
2024-01-17,Electronics,South,5,277.75,1388.73,UPI
2024-01-17,Clothing,North,2,42.4,84.8,Debit Card
2024-01-17,Books,East,3,48.6,145.8,Debit Card
2024-01-18,Sports,West,3,128.49,385.48,Debit Card
2024-01-18,Books,West,3,30.92,92.77,UPI
2024-01-18,Books,North,3,33.1,99.3,UPI
2024-01-18,Clothing,South,5,68.06,340.3,UPI
2024-01-18,Clothing,West,5,78.02,390.12,Net Banking
2024-01-19,Electronics,East,4,306.45,1225.8,Credit Card
2024-01-19,Electronics,West,4,228.78,915.12,Credit Card
2024-01-19,Home & Kitchen,East,3,127.83,383.48,Debit Card
2024-01-19,Clothing,South,2,28.03,56.07,Net Banking
2024-01-19,Electronics,West,4,96.0,383.98,Debit Card
2024-01-19,Books,East,1,47.02,47.02,UPI
2024-01-19,Electronics,North,4,106.1,424.39,UPI
2024-01-20,Clothing,North,2,15.39,30.79,Credit Card
2024-01-20,Sports,South,2,139.09,278.19,Debit Card
2024-01-20,Electronics,North,4,238.52,954.07,Debit Card
2024-01-20,Electronics,North,1,482.48,482.48,Credit Card
2024-01-20,Clothing,North,5,51.28,256.39,Net Banking
2024-01-20,Home & Kitchen,North,3,101.59,304.78,UPI
2024-01-20,Clothing,South,4,88.25,353.01,Debit Card
2024-01-21,Clothing,East,4,88.69,354.78,Debit Card
2024-01-21,Electronics,East,1,409.96,409.96,Credit Card
2024-01-21,Electronics,South,3,483.19,1449.58,Net Banking
2024-01-21,Electronics,South,1,143.55,143.55,Debit Card
2024-01-22,Sports,North,3,103.02,309.06,Net Banking
2024-01-22,Clothing,South,2,33.66,67.32,Credit Card
2024-01-22,Home & Kitchen,East,1,153.5,153.5,UPI
2024-01-22,Electronics,South,4,109.52,438.1,Debit Card
2024-01-23,Books,North,2,18.26,36.51,UPI
2024-01-23,Electronics,North,3,318.84,956.51,Debit Card
2024-01-23,Clothing,West,2,45.08,90.16,UPI
2024-01-23,Books,North,3,21.88,65.65,Credit Card
2024-01-23,Clothing,East,5,37.94,189.71,Net Banking
2024-01-23,Books,East,3,13.01,39.02,Credit Card
2024-01-23,Clothing,East,2,21.45,42.91,Net Banking
2024-01-24,Electronics,North,3,462.79,1388.37,Net Banking
2024-01-24,Clothing,West,5,76.55,382.74,Debit Card
2024-01-24,Home & Kitchen,East,1,147.0,147.0,UPI
2024-01-24,Home & Kitchen,South,5,40.75,203.75,Debit Card
2024-01-25,Books,South,2,32.43,64.85,Debit Card
2024-01-25,Books,East,2,31.58,63.16,Net Banking
2024-01-25,Clothing,South,5,34.8,174.01,Credit Card
2024-01-25,Books,North,3,13.54,40.63,UPI
2024-01-25,Clothing,West,4,80.3,321.21,Net Banking
2024-01-25,Electronics,East,2,183.34,366.68,Credit Card
2024-01-26,Electronics,North,4,148.21,592.86,Net Banking
2024-01-26,Books,South,3,12.6,37.8,Net Banking
2024-01-26,Books,South,3,18.82,56.46,Credit Card
2024-01-27,Books,North,1,20.41,20.41,Credit Card
2024-01-27,Clothing,North,3,34.08,102.23,Net Banking
2024-01-27,Home & Kitchen,South,1,105.8,105.8,Debit Card
2024-01-27,Electronics,East,1,297.89,297.89,Net Banking
2024-01-27,Home & Kitchen,South,5,33.7,168.52,UPI
2024-01-28,Sports,East,2,133.52,267.04,Net Banking
2024-01-28,Electronics,East,1,200.3,200.3,Debit Card
2024-01-28,Electronics,North,5,442.33,2211.65,Debit Card
2024-01-28,Home & Kitchen,East,4,66.56,266.26,UPI
2024-01-28,Clothing,North,2,60.9,121.8,Credit Card
2024-01-28,Clothing,West,4,94.22,376.89,UPI
2024-01-28,Electronics,East,1,396.94,396.94,Net Banking
2024-01-29,Books,West,5,25.34,126.72,Debit Card
2024-01-29,Books,East,3,28.74,86.22,Debit Card
2024-01-29,Electronics,North,5,362.16,1810.79,Debit Card
2024-01-29,Electronics,North,4,64.09,256.34,UPI
2024-01-30,Electronics,East,1,194.33,194.33,Debit Card
2024-01-30,Home & Kitchen,South,4,53.39,213.58,Debit Card
2024-01-30,Books,South,4,46.47,185.89,UPI
2024-01-30,Electronics,East,1,323.29,323.29,Credit Card
2024-01-30,Home & Kitchen,North,2,101.94,203.88,Credit Card
2024-01-31,Clothing,East,3,88.11,264.33,UPI
2024-01-31,Electronics,North,1,306.91,306.91,Net Banking
2024-01-31,Books,South,1,11.33,11.33,Net Banking
2024-01-31,Clothing,South,2,83.05,166.1,UPI
2024-02-01,Electronics,East,1,471.3,471.3,UPI
2024-02-01,Home & Kitchen,South,3,119.54,358.62,Net Banking
2024-02-01,Clothing,East,4,21.94,87.75,Credit Card
2024-02-01,Books,South,4,11.75,46.99,Debit Card
2024-02-01,Electronics,East,5,498.35,2491.75,UPI
2024-02-02,Clothing,East,4,96.67,386.67,Credit Card
2024-02-02,Home & Kitchen,South,4,124.16,496.65,Net Banking
2024-02-02,Clothing,South,2,70.68,141.35,Debit Card
2024-02-02,Clothing,South,5,26.18,130.92,Net Banking
2024-02-02,Electronics,South,5,434.47,2172.37,UPI
2024-02-02,Clothing,North,2,70.43,140.86,Net Banking
2024-02-02,Electronics,North,4,108.89,435.57,Net Banking
2024-02-03,Clothing,West,1,36.14,36.14,UPI
2024-02-03,Electronics,North,5,210.53,1052.65,Debit Card
2024-02-03,Books,South,3,31.25,93.74,Net Banking
2024-02-03,Electronics,East,5,470.24,2351.22,Debit Card
2024-02-04,Clothing,East,2,97.71,195.43,Debit Card
2024-02-04,Clothing,South,5,94.88,474.42,Net Banking
2024-02-04,Home & Kitchen,North,5,139.09,695.47,Net Banking
2024-02-04,Electronics,South,2,441.01,882.01,Credit Card
2024-02-04,Home & Kitchen,East,5,82.74,413.72,Debit Card
2024-02-04,Clothing,North,1,81.5,81.5,Credit Card
2024-02-04,Clothing,South,3,79.79,239.38,Net Banking
2024-02-05,Clothing,North,2,74.11,148.23,Net Banking
2024-02-05,Clothing,West,2,29.32,58.64,UPI
2024-02-05,Clothing,West,2,17.18,34.36,Net Banking
2024-02-06,Electronics,West,3,394.2,1182.59,Debit Card
2024-02-06,Electronics,East,5,454.11,2270.57,Net Banking
2024-02-06,Clothing,South,5,59.46,297.31,UPI
2024-02-06,Home & Kitchen,South,2,168.17,336.34,Net Banking
2024-02-06,Books,East,1,29.34,29.34,Credit Card
2024-02-06,Home & Kitchen,West,2,134.84,269.67,Credit Card
2024-02-06,Books,East,2,32.27,64.53,UPI
2024-02-07,Electronics,East,4,352.14,1408.56,Net Banking
2024-02-07,Electronics,North,4,438.26,1753.03,Debit Card
2024-02-07,Home & Kitchen,West,2,30.52,61.04,Debit Card
2024-02-07,Home & Kitchen,South,2,144.64,289.28,Debit Card
2024-02-07,Electronics,South,2,457.49,914.97,UPI
2024-02-07,Clothing,North,1,52.6,52.6,Debit Card
2024-02-08,Electronics,West,3,289.83,869.49,UPI
2024-02-08,Home & Kitchen,North,2,124.49,248.97,Debit Card
2024-02-08,Home & Kitchen,East,2,156.11,312.22,Credit Card
2024-02-08,Books,West,5,39.49,197.44,UPI
2024-02-08,Electronics,South,4,330.61,1322.45,Credit Card
2024-02-08,Books,South,4,13.51,54.02,Credit Card
2024-02-08,Home & Kitchen,East,4,177.2,708.8,Debit Card
2024-02-09,Books,South,1,45.12,45.12,Net Banking
2024-02-09,Books,West,4,16.15,64.61,Debit Card
2024-02-09,Sports,South,2,85.88,171.77,Net Banking
2024-02-09,Home & Kitchen,South,5,168.54,842.68,UPI
2024-02-09,Clothing,West,4,81.02,324.09,Credit Card
2024-02-09,Books,North,5,25.46,127.29,Net Banking
2024-02-10,Clothing,South,3,67.66,202.97,UPI
2024-02-10,Electronics,West,3,129.99,389.98,UPI
2024-02-10,Electronics,West,5,330.75,1653.77,Net Banking
2024-02-10,Clothing,North,3,85.34,256.02,Debit Card
2024-02-11,Electronics,North,5,392.13,1960.65,UPI
2024-02-11,Electronics,North,2,79.08,158.16,Credit Card
2024-02-11,Clothing,West,5,27.75,138.77,Debit Card
2024-02-11,Clothing,West,2,90.83,181.65,Credit Card
2024-02-12,Books,West,1,28.46,28.46,Credit Card
2024-02-12,Home & Kitchen,East,1,113.31,113.31,UPI
2024-02-12,Clothing,North,5,78.43,392.14,Net Banking
2024-02-13,Sports,North,2,122.98,245.96,Net Banking
2024-02-13,Clothing,South,5,79.97,399.86,Credit Card
2024-02-13,Sports,East,1,57.59,57.59,Net Banking
2024-02-14,Home & Kitchen,South,2,105.38,210.76,Debit Card
2024-02-14,Sports,West,4,36.88,147.51,Net Banking
2024-02-14,Clothing,South,2,95.16,190.32,Net Banking
2024-02-15,Home & Kitchen,East,1,134.49,134.49,UPI
2024-02-15,Home & Kitchen,South,4,155.57,622.29,Debit Card
2024-02-15,Home & Kitchen,South,5,58.43,292.16,Credit Card
2024-02-16,Clothing,North,1,40.29,40.29,Credit Card
2024-02-16,Home & Kitchen,West,2,153.51,307.02,Credit Card
2024-02-16,Electronics,West,2,141.82,283.63,UPI
2024-02-16,Clothing,North,4,87.08,348.34,Credit Card
2024-02-16,Home & Kitchen,North,4,75.01,300.04,Credit Card
2024-02-16,Clothing,North,4,33.46,133.85,Net Banking
2024-02-16,Electronics,South,4,131.59,526.37,UPI
2024-02-17,Electronics,West,4,302.3,1209.19,UPI
2024-02-17,Books,North,3,38.31,114.92,Debit Card
2024-02-17,Clothing,West,4,77.52,310.07,Credit Card
2024-02-17,Books,East,1,35.45,35.45,Debit Card
2024-02-17,Electronics,South,4,222.72,890.9,Debit Card
2024-02-18,Electronics,East,5,363.95,1819.76,Credit Card
2024-02-18,Electronics,North,5,266.41,1332.04,Credit Card
2024-02-18,Electronics,East,3,246.58,739.75,UPI
2024-02-18,Electronics,East,1,480.48,480.48,Net Banking
2024-02-19,Electronics,South,2,172.38,344.75,Net Banking
2024-02-19,Clothing,West,4,62.77,251.08,Debit Card
2024-02-19,Electronics,East,3,483.53,1450.58,UPI
2024-02-19,Electronics,North,2,490.8,981.6,Credit Card
2024-02-19,Clothing,North,4,24.7,98.79,Net Banking
2024-02-20,Clothing,North,2,61.12,122.23,Credit Card
2024-02-20,Electronics,South,2,124.6,249.2,Credit Card
2024-02-20,Clothing,North,4,58.56,234.25,Debit Card
2024-02-21,Electronics,East,4,295.18,1180.73,Credit Card
2024-02-21,Home & Kitchen,West,3,155.13,465.39,Net Banking
2024-02-21,Electronics,East,4,292.42,1169.66,Net Banking
2024-02-22,Electronics,North,3,141.69,425.08,Debit Card
2024-02-22,Home & Kitchen,East,2,162.79,325.57,Credit Card
2024-02-22,Sports,South,1,127.55,127.55,Debit Card
2024-02-22,Clothing,South,3,83.31,249.92,UPI
2024-02-23,Home & Kitchen,North,4,138.1,552.42,UPI
2024-02-23,Electronics,West,4,450.62,1802.46,Credit Card
2024-02-23,Books,South,3,36.07,108.2,UPI
2024-02-23,Electronics,South,4,200.84,803.37,Debit Card
2024-02-23,Electronics,West,1,382.85,382.85,UPI
2024-02-23,Home & Kitchen,West,3,141.71,425.14,Debit Card
2024-02-23,Electronics,East,1,344.88,344.88,UPI
2024-02-24,Clothing,South,5,40.84,204.18,Debit Card
2024-02-24,Books,East,5,10.01,50.04,Net Banking
2024-02-24,Clothing,South,4,25.95,103.81,UPI
2024-02-24,Electronics,West,2,484.81,969.62,Net Banking
2024-02-25,Books,West,1,44.91,44.91,Credit Card
2024-02-25,Home & Kitchen,North,1,104.38,104.38,Net Banking
2024-02-25,Electronics,East,1,71.66,71.66,UPI
2024-02-25,Books,East,5,20.71,103.56,Debit Card
2024-02-25,Home & Kitchen,North,4,152.76,611.05,Credit Card
2024-02-26,Books,West,1,46.43,46.43,Net Banking
2024-02-26,Electronics,East,4,249.52,998.08,UPI
2024-02-26,Electronics,East,4,155.38,621.53,Net Banking
2024-02-26,Clothing,North,1,18.38,18.38,Credit Card
2024-02-26,Clothing,North,5,31.67,158.34,Credit Card
2024-02-27,Clothing,North,1,18.12,18.12,UPI
2024-02-27,Home & Kitchen,South,3,167.0,501.01,UPI
2024-02-27,Clothing,East,1,72.41,72.41,Debit Card
2024-02-27,Electronics,West,3,234.96,704.88,Net Banking
2024-02-27,Books,East,2,38.7,77.41,Net Banking
2024-02-27,Electronics,West,2,101.52,203.04,UPI
2024-02-27,Clothing,West,1,42.29,42.29,Credit Card
2024-02-28,Clothing,East,2,26.8,53.61,Credit Card
2024-02-28,Home & Kitchen,North,5,45.58,227.92,UPI
2024-02-28,Electronics,North,5,229.72,1148.58,Debit Card
2024-02-28,Books,South,5,21.02,105.08,Net Banking
2024-02-29,Home & Kitchen,West,3,156.68,470.05,UPI
2024-02-29,Electronics,East,4,226.84,907.35,Credit Card
2024-02-29,Electronics,North,4,202.9,811.58,Credit Card
2024-02-29,Books,East,1,18.72,18.72,Credit Card
2024-03-01,Electronics,North,2,268.52,537.03,Credit Card
2024-03-01,Electronics,South,3,122.01,366.03,Debit Card
2024-03-01,Sports,North,2,93.17,186.35,Credit Card
2024-03-02,Electronics,East,4,63.92,255.69,UPI
2024-03-02,Clothing,North,5,52.44,262.19,UPI
2024-03-02,Electronics,South,4,155.77,623.07,Debit Card
2024-03-02,Sports,North,2,102.93,205.85,Debit Card
2024-03-02,Home & Kitchen,South,5,173.46,867.3,Debit Card
2024-03-02,Electronics,East,2,374.96,749.93,Credit Card
2024-03-02,Electronics,North,4,260.05,1040.21,Net Banking
2024-03-03,Clothing,West,2,59.41,118.82,UPI
2024-03-03,Sports,East,1,120.57,120.57,UPI
2024-03-03,Home & Kitchen,North,1,135.24,135.24,Debit Card
2024-03-03,Clothing,East,5,68.26,341.3,Debit Card
2024-03-03,Home & Kitchen,East,2,84.57,169.14,Debit Card
2024-03-03,Electronics,North,3,499.02,1497.06,UPI
2024-03-04,Clothing,North,5,94.65,473.26,Credit Card
2024-03-04,Home & Kitchen,East,1,143.73,143.73,Net Banking
2024-03-04,Clothing,South,5,21.15,105.73,Net Banking
2024-03-05,Clothing,South,4,75.36,301.44,Net Banking
2024-03-05,Clothing,East,3,64.58,193.73,UPI
2024-03-05,Electronics,East,3,341.52,1024.55,Credit Card
2024-03-06,Books,South,4,42.9,171.61,Net Banking
2024-03-06,Home & Kitchen,East,5,92.26,461.3,Net Banking
2024-03-06,Books,East,1,30.45,30.45,Debit Card
2024-03-06,Electronics,South,2,260.14,520.27,Credit Card
2024-03-07,Clothing,East,3,63.6,190.81,Credit Card
2024-03-07,Clothing,West,3,73.4,220.19,Net Banking
2024-03-07,Home & Kitchen,South,5,193.89,969.44,Debit Card
2024-03-08,Electronics,North,3,335.45,1006.36,Net Banking
2024-03-08,Books,East,2,44.36,88.72,Debit Card
2024-03-08,Home & Kitchen,West,2,105.01,210.02,Debit Card
2024-03-09,Books,North,1,22.63,22.63,UPI
2024-03-09,Clothing,West,1,39.43,39.43,UPI
2024-03-09,Clothing,West,5,35.56,177.8,Debit Card
2024-03-09,Sports,East,3,83.01,249.04,Credit Card
2024-03-09,Sports,West,1,147.0,147.0,UPI
2024-03-09,Electronics,North,3,222.16,666.48,UPI
2024-03-09,Clothing,East,4,63.51,254.02,UPI
2024-03-10,Books,North,3,18.28,54.85,Net Banking
2024-03-10,Books,North,5,28.95,144.76,Credit Card
2024-03-10,Sports,North,5,122.12,610.58,Debit Card
2024-03-10,Electronics,South,2,453.23,906.47,Net Banking
2024-03-10,Clothing,West,4,83.84,335.35,Debit Card
2024-03-10,Clothing,East,2,94.1,188.2,Credit Card
2024-03-11,Sports,East,5,120.11,600.53,UPI
2024-03-11,Clothing,South,3,52.87,158.61,Credit Card
2024-03-11,Sports,North,3,87.28,261.84,UPI
2024-03-12,Sports,North,3,26.63,79.89,Net Banking
2024-03-12,Electronics,West,5,458.55,2292.77,Debit Card
2024-03-12,Books,North,4,16.51,66.03,UPI
2024-03-12,Books,South,1,32.08,32.08,Net Banking
2024-03-12,Electronics,South,2,281.61,563.22,Net Banking
2024-03-13,Home & Kitchen,South,1,191.87,191.87,Net Banking
2024-03-13,Clothing,East,4,93.07,372.26,Net Banking
2024-03-13,Books,West,4,46.09,184.36,Credit Card
2024-03-13,Sports,East,3,133.35,400.04,UPI
2024-03-13,Electronics,North,5,373.62,1868.11,Net Banking
2024-03-13,Electronics,East,2,451.65,903.3,Debit Card
2024-03-14,Electronics,West,3,317.21,951.63,Credit Card
2024-03-14,Books,North,3,40.84,122.53,Debit Card
2024-03-14,Electronics,North,5,177.11,885.56,Credit Card
2024-03-14,Electronics,North,5,375.41,1877.04,Net Banking
2024-03-14,Books,South,4,39.68,158.7,Debit Card
2024-03-14,Clothing,South,5,84.43,422.13,UPI
2024-03-15,Sports,West,5,119.23,596.14,UPI
2024-03-15,Electronics,South,1,170.98,170.98,Debit Card
2024-03-15,Home & Kitchen,East,5,111.6,558.0,Credit Card
2024-03-15,Books,West,3,44.02,132.06,Debit Card
2024-03-15,Electronics,North,1,205.4,205.4,Credit Card
2024-03-15,Home & Kitchen,East,1,111.2,111.2,Credit Card
2024-03-16,Electronics,West,2,327.16,654.32,Debit Card
2024-03-16,Home & Kitchen,North,3,106.81,320.42,Credit Card
2024-03-16,Home & Kitchen,East,3,141.89,425.66,Net Banking
2024-03-17,Clothing,West,3,98.46,295.39,Debit Card
2024-03-17,Electronics,West,5,188.05,940.25,UPI
2024-03-17,Clothing,South,3,22.13,66.4,Net Banking
2024-03-17,Electronics,East,1,338.78,338.78,Net Banking
2024-03-17,Books,West,5,10.46,52.3,Net Banking
2024-03-18,Electronics,South,5,490.53,2452.65,UPI
2024-03-18,Clothing,East,3,56.06,168.18,Debit Card
2024-03-18,Sports,East,3,99.88,299.64,Debit Card
2024-03-18,Home & Kitchen,East,5,65.16,325.8,UPI
2024-03-19,Clothing,East,2,95.47,190.94,Net Banking
2024-03-19,Home & Kitchen,West,3,87.24,261.72,Credit Card
2024-03-19,Clothing,East,1,96.39,96.39,Credit Card
2024-03-20,Clothing,East,2,78.61,157.23,UPI
2024-03-20,Clothing,North,2,34.48,68.96,Debit Card
2024-03-20,Electronics,East,5,444.86,2224.31,Credit Card
2024-03-21,Electronics,South,3,256.52,769.57,Net Banking
2024-03-21,Sports,South,3,89.2,267.6,UPI
2024-03-21,Electronics,East,3,396.83,1190.5,UPI
2024-03-21,Books,North,5,35.21,176.05,UPI
2024-03-21,Home & Kitchen,South,4,161.12,644.47,Net Banking
2024-03-21,Books,South,5,29.64,148.22,Credit Card
2024-03-21,Electronics,East,2,233.95,467.9,Debit Card
2024-03-22,Home & Kitchen,East,5,165.05,825.26,Debit Card
2024-03-22,Clothing,South,1,45.07,45.07,Debit Card
2024-03-22,Sports,West,4,64.83,259.3,Credit Card
2024-03-22,Sports,South,5,129.74,648.69,Debit Card
2024-03-22,Books,East,1,26.44,26.44,UPI
2024-03-22,Clothing,West,5,15.17,75.85,Debit Card
2024-03-23,Clothing,South,2,25.33,50.65,Debit Card
2024-03-23,Electronics,East,3,201.05,603.16,UPI
2024-03-23,Books,North,3,30.0,90.01,Debit Card
2024-03-24,Home & Kitchen,West,5,187.96,939.81,Debit Card
2024-03-24,Clothing,North,2,32.37,64.73,Credit Card
2024-03-24,Books,North,5,38.59,192.93,Debit Card
2024-03-25,Home & Kitchen,West,5,107.32,536.59,Credit Card
2024-03-25,Clothing,East,2,56.17,112.34,Debit Card
2024-03-25,Electronics,West,2,80.14,160.28,Net Banking
2024-03-25,Electronics,North,5,252.72,1263.58,Credit Card
2024-03-25,Electronics,East,3,207.73,623.2,Debit Card
2024-03-25,Home & Kitchen,South,3,169.65,508.94,Debit Card
2024-03-26,Electronics,West,1,311.46,311.46,Debit Card
2024-03-26,Home & Kitchen,West,3,153.61,460.82,Credit Card
2024-03-26,Books,North,1,40.97,40.97,UPI
2024-03-26,Clothing,South,4,75.89,303.58,UPI
2024-03-26,Electronics,East,4,375.95,1503.82,UPI
2024-03-26,Clothing,East,1,73.85,73.85,UPI
2024-03-27,Clothing,West,5,33.59,167.95,Net Banking
2024-03-27,Books,West,4,18.69,74.76,Net Banking
2024-03-27,Electronics,North,3,420.95,1262.84,Credit Card
2024-03-28,Clothing,East,5,86.81,434.07,Credit Card
2024-03-28,Electronics,West,3,470.11,1410.32,Net Banking
2024-03-28,Home & Kitchen,West,5,84.88,424.38,Credit Card
2024-03-28,Clothing,West,3,16.46,49.37,Credit Card
2024-03-28,Electronics,West,2,303.53,607.06,Debit Card
2024-03-29,Home & Kitchen,East,2,61.2,122.4,Debit Card
2024-03-29,Sports,East,5,132.63,663.15,Net Banking
2024-03-29,Clothing,South,3,85.79,257.37,Credit Card
2024-03-29,Sports,West,1,118.47,118.47,Credit Card
2024-03-29,Books,North,4,47.95,191.8,Debit Card
2024-03-29,Home & Kitchen,North,3,164.51,493.52,Debit Card
2024-03-29,Clothing,South,5,85.87,429.36,Credit Card
2024-03-30,Clothing,South,5,22.19,110.94,Net Banking
2024-03-30,Home & Kitchen,East,5,87.58,437.9,Net Banking
2024-03-30,Electronics,East,5,453.81,2269.07,Net Banking
2024-03-30,Electronics,West,5,488.9,2444.52,Net Banking
2024-03-30,Clothing,South,4,55.37,221.48,Debit Card
2024-03-30,Clothing,West,5,97.26,486.3,Debit Card
2024-03-31,Electronics,West,4,209.89,839.58,UPI
2024-03-31,Electronics,West,2,423.19,846.38,UPI
2024-03-31,Books,West,3,27.67,83.01,UPI
2024-03-31,Clothing,East,5,53.97,269.83,UPI
2024-03-31,Books,East,5,17.81,89.03,UPI
2024-03-31,Home & Kitchen,East,4,41.06,164.25,Net Banking
2024-03-31,Home & Kitchen,East,5,111.83,559.13,Credit Card
2024-04-01,Sports,West,5,59.83,299.15,Credit Card
2024-04-01,Electronics,North,2,456.44,912.87,UPI
2024-04-01,Books,West,2,43.8,87.61,Debit Card
2024-04-01,Electronics,North,1,163.69,163.69,Debit Card
2024-04-01,Home & Kitchen,South,1,47.37,47.37,UPI
2024-04-01,Electronics,South,2,476.83,953.65,Net Banking
2024-04-02,Clothing,North,1,67.3,67.3,Net Banking
2024-04-02,Sports,South,2,88.82,177.65,Credit Card
2024-04-02,Home & Kitchen,North,2,132.74,265.48,Net Banking
2024-04-02,Sports,East,4,115.57,462.3,Credit Card
2024-04-02,Electronics,North,3,128.07,384.22,Net Banking
2024-04-02,Electronics,North,2,354.83,709.65,Credit Card
2024-04-02,Electronics,West,1,177.26,177.26,Debit Card
2024-04-03,Home & Kitchen,East,3,131.53,394.59,Credit Card
