Date,Temperature_C,Humidity_Pct,Rainfall_mm,WindSpeed_kmh
2024-02-14,9.3,86.1,0.0,12.3
2024-02-15,11.4,85.4,0.0,9.5
2024-02-16,12.2,75.6,0.0,4.8
2024-02-17,16.2,70.4,0.0,6.7
2024-02-18,14.6,85.7,0.0,4.1
2024-02-19,9.5,85.1,0.0,3.7
2024-02-20,14.9,75.3,0.0,13.4
2024-02-21,13.3,88.1,19.9,2.5
2024-02-22,12.7,81.4,0.0,4.1
2024-02-23,16.2,84.0,0.0,6.9
2024-02-24,17.4,77.4,0.0,8.5
2024-02-25,17.3,87.4,0.0,3.1
2024-02-26,13.1,89.3,0.0,2.5
2024-02-27,14.6,78.1,0.0,10.4
2024-02-28,16.4,82.7,0.0,9.1
2024-02-29,18.2,79.7,0.0,16.7
2024-03-01,14.8,86.0,0.0,8.6
2024-03-02,15.7,73.6,0.0,11.0
2024-03-03,13.6,83.6,0.0,5.0
2024-03-04,13.5,85.5,0.0,5.2
2024-03-05,18.8,67.2,0.0,3.3
2024-03-06,20.3,68.8,0.0,5.1
2024-03-07,17.0,67.2,0.0,6.6
2024-03-08,19.8,73.8,0.0,15.8
2024-03-09,18.4,79.8,9.8,4.6
2024-03-10,16.1,85.6,0.0,23.8
2024-03-11,18.8,76.3,0.0,11.5
2024-03-12,22.0,81.5,0.0,10.2
2024-03-13,18.3,69.5,0.0,8.2
2024-03-14,22.5,64.5,9.6,7.3
2024-03-15,12.2,81.0,0.0,5.6
2024-03-16,21.0,76.1,0.0,3.0
2024-03-17,19.4,75.3,0.0,4.7
2024-03-18,18.6,65.8,0.0,19.0
2024-03-19,19.8,74.7,0.0,11.1
2024-03-20,14.8,72.6,0.0,18.9
2024-03-21,19.5,78.8,0.0,5.5
2024-03-22,21.1,76.0,0.0,4.0
2024-03-23,24.1,67.0,0.0,8.2
2024-03-24,19.3,73.0,7.3,4.8
2024-03-25,18.8,70.7,0.0,9.2
2024-03-26,19.8,74.9,0.6,2.5
2024-03-27,23.5,77.0,0.0,2.0
2024-03-28,22.3,68.3,0.0,10.0
2024-03-29,20.3,77.3,0.0,19.3
2024-03-30,23.1,69.8,3.0,10.2
2024-03-31,22.3,69.2,0.0,11.1
2024-04-01,24.7,70.7,0.0,8.4
2024-04-02,20.7,69.3,0.0,8.9
2024-04-03,21.8,70.8,0.0,2.9
2024-04-04,21.9,67.5,0.0,4.9
2024-04-05,19.4,85.3,0.0,15.7
2024-04-06,24.0,72.0,0.0,3.8
2024-04-07,24.1,68.2,16.3,6.5
2024-04-08,23.7,73.1,16.6,15.5
2024-04-09,23.3,71.8,0.0,8.7
2024-04-10,20.5,73.5,0.0,9.0
2024-04-11,23.2,75.5,0.0,6.6
2024-04-12,23.6,75.9,0.0,12.0
2024-04-13,22.6,70.2,0.0,13.7
2024-04-14,24.4,68.6,0.0,4.7
2024-04-15,26.0,68.8,0.0,3.1
2024-04-16,29.9,55.6,0.0,2.0
2024-04-17,25.8,62.8,0.0,10.8
2024-04-18,26.2,76.9,0.0,10.1
2024-04-19,25.6,78.8,0.0,27.5
2024-04-20,21.1,72.9,0.0,8.4
2024-04-21,26.0,73.1,0.0,7.5
2024-04-22,26.4,71.4,0.0,9.4
2024-04-23,32.6,80.3,0.0,9.7
2024-04-24,26.1,75.7,0.0,7.2
2024-04-25,27.6,68.3,3.5,4.8
2024-04-26,26.9,64.7,0.0,8.1
2024-04-27,24.2,63.6,0.0,8.0
2024-04-28,30.2,67.9,0.0,7.9
2024-04-29,29.3,63.7,0.1,12.7
2024-04-30,29.6,60.2,0.0,8.1
2024-05-01,25.5,67.4,0.0,3.1
2024-05-02,31.4,60.4,0.0,5.4
2024-05-03,24.6,79.8,0.0,7.1
2024-05-04,29.7,71.6,24.0,8.3
2024-05-05,33.9,63.9,0.0,10.9
2024-05-06,26.1,77.5,4.3,8.3
2024-05-07,27.3,69.6,0.0,2.0
2024-05-08,29.1,63.4,0.0,3.4
2024-05-09,27.7,76.5,0.0,11.3
2024-05-10,25.2,73.5,0.0,7.0
2024-05-11,29.4,62.3,37.8,8.8
2024-05-12,26.7,68.7,22.9,6.5
2024-05-13,30.7,62.1,0.0,5.4
2024-05-14,27.3,62.2,0.0,6.6
2024-05-15,33.6,68.7,0.0,8.8
2024-05-16,27.9,78.2,1.6,8.0
2024-05-17,29.2,60.7,1.7,13.6
2024-05-18,32.1,68.1,0.0,2.7
2024-05-19,27.1,66.1,0.0,3.0
2024-05-20,30.9,63.9,27.8,6.9
2024-05-21,33.7,61.1,0.0,11.0
2024-05-22,26.5,65.5,0.0,12.3
2024-05-23,31.1,66.4,0.0,5.5
2024-05-24,31.4,61.8,4.0,2.0
2024-05-25,32.8,66.2,0.0,5.6
2024-05-26,27.8,68.5,0.0,10.1
2024-05-27,27.7,67.7,13.5,7.9
2024-05-28,32.4,60.6,2.0,11.2
2024-05-29,31.9,62.6,0.0,15.4
2024-05-30,31.8,69.3,0.0,7.2
2024-05-31,32.1,67.8,0.0,6.0
2024-06-01,29.6,62.4,16.8,4.4
2024-06-02,32.0,65.9,1.1,3.0
2024-06-03,32.2,69.0,0.0,2.4
2024-06-04,29.7,58.9,0.0,5.1
2024-06-05,36.3,64.7,0.0,14.3
2024-06-06,32.8,61.4,0.0,11.8
2024-06-07,28.7,70.9,0.0,5.8
2024-06-08,33.4,60.5,0.0,23.9
2024-06-09,29.3,58.5,4.2,5.4
2024-06-10,33.8,55.8,0.0,16.2
2024-06-11,34.7,63.4,10.3,18.3
2024-06-12,29.8,68.4,0.0,10.5
2024-06-13,34.3,59.0,2.0,5.1
2024-06-14,33.0,67.8,0.0,6.3
2024-06-15,34.0,55.5,15.2,8.9
2024-06-16,36.7,61.3,0.0,3.0
2024-06-17,31.4,59.9,0.0,4.1
2024-06-18,30.1,63.7,0.0,3.9
2024-06-19,29.8,67.4,0.0,10.9
2024-06-20,30.0,62.7,9.1,15.3
2024-06-21,31.8,63.6,0.0,12.1
2024-06-22,32.8,69.8,16.9,13.9
2024-06-23,32.7,62.0,0.0,4.8
2024-06-24,34.0,67.9,0.0,6.5
2024-06-25,32.0,59.8,0.0,6.8
2024-06-26,35.6,65.2,0.0,10.4
2024-06-27,31.3,73.2,0.0,5.2
2024-06-28,38.7,47.7,0.0,13.5
2024-06-29,33.4,60.3,0.0,18.1
2024-06-30,29.7,70.1,0.0,10.8
2024-07-01,29.1,66.7,0.0,6.3
2024-07-02,33.0,66.5,0.0,4.6
2024-07-03,31.2,63.1,17.0,3.9
2024-07-04,33.5,64.7,0.0,2.0
2024-07-05,32.8,64.0,14.0,7.0
2024-07-06,31.4,71.7,3.3,6.7
2024-07-07,29.4,68.8,0.0,13.0
2024-07-08,27.7,70.6,13.6,5.5
2024-07-09,30.3,64.7,0.0,7.2
2024-07-10,33.5,61.8,0.0,9.5
2024-07-11,31.8,63.4,2.7,10.7
2024-07-12,28.1,70.5,0.0,12.2
2024-07-13,31.5,63.7,0.0,8.9
2024-07-14,32.0,66.9,0.0,3.2
2024-07-15,28.7,78.4,8.0,10.1
2024-07-16,31.2,70.4,0.0,5.2
2024-07-17,30.9,64.7,0.0,15.7
2024-07-18,27.8,74.8,11.5,8.1
2024-07-19,31.5,63.8,0.0,9.2
2024-07-20,31.9,55.3,0.0,28.7
2024-07-21,33.1,59.5,8.0,12.3
2024-07-22,32.9,55.3,0.0,10.0
2024-07-23,26.7,67.9,22.1,7.3
2024-07-24,27.7,68.9,0.0,3.4
2024-07-25,31.2,74.4,2.9,7.0
2024-07-26,31.1,67.8,0.0,4.5
2024-07-27,31.0,65.1,7.0,19.3
2024-07-28,39.2,63.8,7.8,10.1
2024-07-29,30.9,55.3,16.4,15.4
2024-07-30,32.1,66.5,0.0,5.4
2024-07-31,31.6,69.6,0.0,4.7
2024-08-01,30.7,59.1,0.0,11.6
2024-08-02,28.1,74.2,11.4,4.4
2024-08-03,30.7,68.2,0.2,6.0
2024-08-04,26.7,67.6,5.4,19.8
2024-08-05,27.9,71.9,0.0,6.2
2024-08-06,27.1,80.7,0.0,2.9
2024-08-07,28.4,69.2,2.6,2.1
2024-08-08,33.8,65.2,0.0,2.6
2024-08-09,23.2,70.1,4.8,15.9
2024-08-10,29.4,63.2,12.7,5.6
2024-08-11,23.5,76.3,0.0,28.2
2024-08-12,26.2,65.8,0.7,18.2
2024-08-13,29.9,67.4,0.0,22.4
2024-08-14,27.2,66.8,0.0,14.1
2024-08-15,24.2,74.0,24.1,11.3
2024-08-16,24.9,72.7,4.5,4.6
2024-08-17,28.2,73.6,0.0,8.0
2024-08-18,24.5,68.8,8.1,11.9
2024-08-19,26.7,68.3,2.6,13.7
2024-08-20,26.1,65.2,0.0,3.6
2024-08-21,24.2,69.4,18.0,7.1
2024-08-22,31.0,68.1,1.9,7.6
2024-08-23,27.1,73.1,8.4,7.4
2024-08-24,20.2,70.2,16.0,4.0
2024-08-25,25.6,74.9,27.6,21.0
2024-08-26,23.3,79.2,16.2,6.9
2024-08-27,26.9,71.6,0.0,4.2
2024-08-28,22.6,82.3,0.0,21.2
2024-08-29,24.1,67.9,0.0,18.2
2024-08-30,25.4,64.4,0.0,8.7
2024-08-31,26.1,61.2,0.0,2.1
2024-09-01,20.8,81.9,0.3,5.9
2024-09-02,22.7,76.1,0.0,2.5
2024-09-03,22.2,73.0,0.0,10.8
2024-09-04,21.5,75.2,0.0,5.7
2024-09-05,27.4,63.5,1.0,7.9
2024-09-06,23.8,84.2,9.3,20.2
2024-09-07,19.4,76.1,1.8,5.4
2024-09-08,24.7,71.8,0.0,10.5
2024-09-09,27.5,72.7,7.0,12.4
2024-09-10,24.5,73.8,12.8,15.6
2024-09-11,18.0,77.8,4.9,7.5
2024-09-12,20.3,70.8,0.6,7.0
2024-09-13,24.5,73.8,5.2,6.9
2024-09-14,19.4,84.9,0.0,9.9
2024-09-15,22.0,80.1,9.5,17.8
2024-09-16,22.7,80.8,0.0,6.7
2024-09-17,18.2,73.9,0.0,2.0
2024-09-18,20.2,69.9,5.2,13.2
2024-09-19,12.0,80.8,2.2,8.3
2024-09-20,17.3,77.4,0.0,10.8
2024-09-21,19.1,81.2,5.5,2.5
2024-09-22,16.4,69.4,0.0,5.7
2024-09-23,23.4,80.0,0.0,12.6
2024-09-24,15.5,77.8,0.0,3.3
2024-09-25,17.8,74.7,3.2,10.5
2024-09-26,19.0,70.7,0.0,7.8
2024-09-27,22.1,65.1,3.5,4.9
2024-09-28,14.7,83.4,0.7,4.7
2024-09-29,21.0,74.6,1.1,4.0
2024-09-30,17.9,70.3,0.0,8.3
2024-10-01,15.2,72.4,0.0,8.9
2024-10-02,18.6,74.4,0.0,6.3
2024-10-03,17.7,85.2,1.5,3.8
2024-10-04,15.5,77.3,8.1,10.3
2024-10-05,17.0,69.9,0.0,13.3
2024-10-06,15.7,77.2,22.0,11.4
2024-10-07,16.7,76.3,6.2,22.9
2024-10-08,17.9,63.2,0.0,7.1
2024-10-09,20.0,74.7,0.0,16.8
2024-10-10,12.8,79.6,0.0,5.2
2024-10-11,21.0,77.7,0.0,4.7
2024-10-12,10.6,91.8,13.5,8.6
2024-10-13,14.9,84.7,18.0,18.9
2024-10-14,16.6,76.4,0.0,6.7
2024-10-15,15.6,73.0,0.0,2.5
2024-10-16,13.2,93.3,0.0,13.2
2024-10-17,14.0,80.1,0.0,7.6
2024-10-18,13.1,80.6,0.0,9.6
2024-10-19,12.7,80.7,0.0,4.9
2024-10-20,16.1,79.1,0.5,8.6
2024-10-21,14.7,78.5,1.4,2.8
2024-10-22,11.9,78.6,0.0,21.1
2024-10-23,15.7,75.7,29.8,14.5
2024-10-24,14.1,79.6,1.6,8.3
2024-10-25,15.1,76.2,0.0,12.9
2024-10-26,14.5,75.8,0.0,5.2
2024-10-27,10.7,83.0,0.0,14.2
2024-10-28,11.2,80.8,0.0,6.5
2024-10-29,14.3,87.1,0.0,6.2
2024-10-30,13.8,66.7,44.9,4.2
2024-10-31,12.1,86.8,0.0,10.3
2024-11-01,12.3,87.4,0.0,8.1
2024-11-02,15.0,68.6,9.1,17.1
2024-11-03,10.2,81.1,0.2,3.8
2024-11-04,12.9,78.8,5.0,10.3
2024-11-05,10.9,75.3,0.0,15.3
2024-11-06,10.7,78.6,0.0,28.6
2024-11-07,13.9,74.4,0.0,9.0
2024-11-08,13.0,89.3,0.0,6.4
2024-11-09,12.9,85.4,0.0,8.9
2024-11-10,14.0,86.2,0.0,16.3
2024-11-11,10.6,86.1,0.0,16.3
2024-11-12,12.2,75.6,16.1,7.4
2024-11-13,9.5,80.7,0.0,16.2
2024-11-14,11.0,84.6,0.0,7.9
2024-11-15,9.8,77.1,0.0,12.9
2024-11-16,10.2,86.4,0.0,11.0
2024-11-17,11.3,80.7,0.0,6.2
2024-11-18,7.7,83.0,0.0,4.3
2024-11-19,14.9,82.7,0.0,15.6
2024-11-20,7.0,87.6,7.2,18.0
2024-11-21,6.4,84.1,0.0,10.1
2024-11-22,12.2,87.0,7.8,7.9
2024-11-23,11.2,76.6,0.0,3.5
2024-11-24,10.7,85.5,0.0,15.3
2024-11-25,10.6,85.5,10.1,9.5
2024-11-26,9.0,82.3,0.0,6.8
2024-11-27,6.7,87.3,2.2,13.1
2024-11-28,9.0,77.5,0.0,3.1
2024-11-29,7.1,90.0,15.4,4.0
2024-11-30,11.1,81.2,0.0,5.1
2024-12-01,8.3,81.8,16.4,10.8
2024-12-02,6.5,91.1,0.0,8.9
2024-12-03,7.7,81.3,0.0,11.5
2024-12-04,9.5,76.4,0.0,14.8
2024-12-05,7.0,77.6,0.0,11.8
2024-12-06,6.3,89.0,4.0,21.4
2024-12-07,8.9,77.5,0.0,14.7
2024-12-08,8.9,92.7,0.0,7.4
2024-12-09,6.9,75.0,0.0,5.7
2024-12-10,7.0,93.9,0.0,7.6
2024-12-11,8.7,85.1,0.0,12.0
2024-12-12,4.5,86.9,28.0,6.1
2024-12-13,4.6,84.6,0.0,12.2
2024-12-14,6.3,88.0,0.0,11.4
2024-12-15,7.5,84.8,1.5,4.2
2024-12-16,8.8,89.5,0.0,14.6
2024-12-17,11.7,82.2,0.0,9.9
2024-12-18,10.1,83.6,0.0,20.8
2024-12-19,7.6,83.1,0.0,7.9
2024-12-20,8.0,84.4,0.0,6.6
2024-12-21,5.5,88.1,0.0,3.9
2024-12-22,8.0,76.1,0.0,3.8
2024-12-23,7.3,78.4,1.5,13.6
2024-12-24,8.8,87.6,10.7,19.6
2024-12-25,6.0,87.1,0.0,7.5
2024-12-26,9.4,82.6,0.0,7.2
2024-12-27,11.9,81.6,0.0,8.3
2024-12-28,7.8,86.5,0.0,15.1
2024-12-29,9.2,81.0,0.0,4.3
2024-12-30,9.9,79.2,0.0,9.2
